generic id,generic name,slug,monograph link,drug class,indication,indication description,therapeutic class description,pharmacology description,dosage description,administration description,interaction description,contraindications description,side effects description,pregnancy and lactation description,precautions description,pediatric usage description,overdose effects description,duration of treatment description,reconstitution description,storage conditions description,descriptions count
31,Adalimumab,adalimumab-31,https://medex.com.bd/attachments/FgGWUFrlD7LThDOJE9ArMGq3BaZ3J3/adalimumab-prescribing-information,Immunosuppressant,Ulcerative colitis,"<div class=""ac-body""><div class=""min-str-block""><div class=""min-str mb-5"" style=""display: none;"">Adalimumab is a tumor necrosis factor (TNF) blocker indicated for treatment of: <br>
<ul>
<li><strong>Rheumatoid Arthritis (RA)</strong>: Reducing signs and symptoms, inducing major clinical response, inhibiting the progression of structural damage, and improving physical function in adult patients with moderately to severely active RA</li> <span class=""min-str-toggle tx-green tx-bold"" style=""cursor:pointer;font-style:italic;"">... Read more</span></ul></div><div class=""full-str"">Adalimumab is a tumor necrosis factor (TNF) blocker indicated for treatment of: <br>
<ul>
<li><strong>Rheumatoid Arthritis (RA)</strong>: Reducing signs and symptoms, inducing major clinical response, inhibiting the progression of structural damage, and improving physical function in adult patients with moderately to severely active RA</li>
<li><strong>Juvenile Idiopathic Arthritis (JIA)</strong>: Reducing signs and symptoms of moderately to severely active polyarticular JIA in patients 2 years of age and older</li>
<li><strong>Psoriatic Arthritis (PsA)</strong>: Reducing signs and symptoms, inhibiting the progression of structural damage, and improving physical function in adult patients with active PsA</li>
<li><strong>Ankylosing Spondylitis (AS)</strong>: Reducing signs and symptoms in adult patients with active AS</li>
<li><strong>Adult Crohn’s Disease (CD)</strong>: Reducing signs and symptoms and inducing and maintaining clinical remission in adult patients with moderately to severely active Crohn’s disease who have had an inadequate response to conventional therapy. Reducing signs and symptoms and inducing clinical remission in these patients if they have also lost response to or are intolerant to infliximab</li>
<li><strong>Pediatric Crohn’s Disease</strong>: Reducing signs and symptoms and inducing and maintaining clinical remission in patients 6 years of age and older with moderately to severely active Crohn’s disease who have had an inadequate response to corticosteroids or immunomodulators such as azathioprine, 6-mercaptopurine, or methotrexate</li>
<li><strong>Ulcerative Colitis (UC)</strong>: Inducing and sustaining clinical remission in adult patients with moderately to severely active ulcerative colitis who have had an inadequate response to immunosuppressants such as corticosteroids, azathioprine or 6-mercaptopurine (6-MP). The effectiveness of Adalimumab has not been established in patients who have lost response to or were intolerant to TNF blockers</li>
<li><strong>Plaque Psoriasis (Ps)</strong>: The treatment of adult patients with moderate to severe chronic plaque psoriasis who are candidates for systemic therapy or phototherapy and when other systemic therapies are medically less appropriate</li>
<li><strong>Hidradenitis Suppurative (HS)</strong>: The treatment of moderate to severe hidradenitis suppurativa</li>
</ul></div></div></div>","<div class=""ac-body"">Disease-modifying antirheumatic drugs (DMARDs), Immunosuppressant</div>","<div class=""ac-body"">Adalimumab is a recombinant human IgG1 monoclonal antibody specific for human tumor necrosis factor (TNF). Adalimumab binds specifically to TNF-alpha and blocks its interaction with the p55 and p75 cell surface TNF receptors. Adalimumab also lyses surface TNF expressing cells in vitro in the presence of complement. TNF is a naturally occurring cytokine that is involved in normal inflammatory and immune responses. Elevated levels of TNF are found in the synovial fluid of patients with Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, and Ankylosing Spondylitis and play an important role in both the pathologic inflammation and the joint destruction that are hallmarks of these diseases. Increased levels of TNF are also found in psoriasis plaques. In Plaque Psoriasis, treatment with Adalimumab may reduce the epidermal thickness and infiltration of inflammatory cells.</div>","<div class=""ac-body""><strong>Rheumatoid Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis</strong>: 40 mg every other week Some patients with RA not receiving methotrexate may benefit from increasing the frequency to 40 mg every week. <br><br>Juvenile Idiopathic Arthritis: <br>
<ul>
<li><strong>10 kg to &lt;15 kg</strong>: 10 mg every other week</li>
<li><strong>15 kg to &lt; 30 kg</strong>: 20 mg every other week</li>
<li><strong>≥ 30 kg</strong>: 40 mg every other week</li>
</ul>
Adult Crohn's Disease and Ulcerative Colitis: <br>
<ul>
<li><strong>Initial dose (Day 1)</strong>: 160 mg (four 40 mg injections in one day or two 40 mg injections per day for two consecutive days).</li>
<li><strong>Second dose two weeks later (Day 15)</strong>: 80 mg.</li>
<li><strong>Two weeks later (Day 29)</strong>: Maintenance dose of 40 mg every other week.</li>
<li><strong>For patients with Ulcerative Colitis only</strong>: Adalimumab should only be continued in patients who have shown evidence of clinical remission by eight weeks (Day 57) of therapy.</li>
</ul>
Pediatric Crohn’s Disease: <br>
<ul>
<li><strong>17 kg to &lt; 40 kg</strong>: Initial dose (Day 1): 80 mg (two 40 mg injections in one day) , Second dose two weeks later (Day 15): 40 mg , Two weeks later (Day 29): Maintenance dose of 20 mg every other week.</li>
<li><strong>≥ 40 kg</strong>: Initial dose (Day 1): 160 mg (four 40 mg injections in one day or two 40 mg injections per day for two consecutive days) , Second dose two weeks later (Day 15): 80 mg (two 40 mg injections in one day) , Two weeks later (Day 29): Maintenance dose of 40 mg every other week.</li>
</ul>
Plaque Psoriasis: <br>
<ul>
<li>80 mg initial dose, followed by 40 mg every other week starting one week after initial dose.</li>
<li><strong>Hidradenitis Suppurativa</strong>: Initial dose (Day 1): 160 mg (given as four 40 mg injection on Day 1 or as two 40 mg injections per day on Days 1 and 2, Second dose two weeks later (Day 15): 80 mg (two 40 mg injections in one day), Third (Day 29) and subsequent doses: 40 mg every week.</li>
</ul></div>","<div class=""ac-body"">Administered by subcutaneous injection.</div>","<div class=""ac-body"">Abatacept: Increased risk of serious infection <br>Anakinra: Increased risk of serious infection <br>Live vaccines: Adalimumab use should be avoided</div>","<div class=""ac-body"">Adalimumab should not be administered to patients with known hypersensitivity to Adalimumab or any of its components.</div>","<div class=""ac-body"">The most common adverse reaction with Adalimumab was injection site reactions (erythema and/or itching, hemorrhage, pain or swelling). The most common adverse reactions leading to discontinuation of Adalimumab in rheumatoid arthritis were clinical flare reaction, rash and pneumonia. <br>
<ul>
<li>Other adverse reactions of Adalimumab includes- Gastrointestinal disorders: Diverticulitis, large bowel perforations including perforations associated with diverticulitis and appendiceal perforations associated with appendicitis, pancreatitis.</li>
<li>General disorders and administration site conditions: Pyrexia.</li>
<li>Hepato-biliary disorders: Liver failure, hepatitis.</li>
<li>Immune system disorders: Sarcoidosis.</li>
<li>Neoplasms benign, malignant and unspecified (including cysts and polyps): Merkel Cell Carcinoma (neuroendocrine carcinoma of the skin). </li>
<li>Nervous system disorders: Demyelinating disorders (e.g., optic neuritis, Guillain-Barré syndrome).</li>
<li>Cerebrovascular accident Respiratory disorders: Interstitial lung disease, including pulmonary fibrosis.</li>
<li>Pulmonary embolism Skin reactions: Stevens Johnson Syndrome, cutaneous vasculitis, erythema multiforme, new or worsening psoriasis (all sub-types including pustular and palmoplantar), alopecia.</li>
<li>Vascular disorders: Systemic vasculitis, deep vein thrombosis.</li>
</ul></div>","<div class=""ac-body"">Pregnancy Category B. Adequate and well controlled studies with Adalimumab have not been conducted in pregnant women. Adalimumab is an IgG1 monoclonal antibody and IgG1 is actively transferred across the placenta during the third trimester of pregnancy. Limited data from published literature indicate that Adalimumab is present in low levels in human milk and is not likely to be absorbed by a breastfed infant. However, no data is available on the absorption of Adalimumab from breast milk in newborn or preterm infants. Caution should be exercised when Adalimumab is administered to a nursing woman.</div>","<div class=""ac-body""><ul>
<li><strong>Serious infections</strong>: Adalimumab should not be started during an active infection. If an infection develops, should be carefully monitored and if infection becomes serious Adalimumab should be stopped.</li>
<li><strong>Invasive fungal infections</strong>: For patients who develop a systemic illness on Adalimumab, empiric antifungal therapy should be considered for those who reside or travel to regions where mycoses are endemic</li>
<li><strong>Malignancies</strong>: Incidence of malignancies was greater in Adalimumab-treated patients than in controls</li>
<li><strong>Anaphylaxis or serious allergic reactions</strong> may occur Hepatitis B virus reactivation: HBV carriers should be monitored during and several months after therapy. If reactivation occurs, Adalimumab should be stopped and antiviral therapy should be started</li>
<li><strong>Demyelinating disease</strong>: Exacerbation or new onset, may occur Cytopenias, pancytopenia: Patients should be advised to seek immediate medical attention if symptoms develop, and should be considered stopping Adalimumab</li>
<li><strong>Heart failure</strong>: Worsening or new onset, may occur</li>
<li><strong>Lupus-like syndrome</strong>: Adalimumab should be stopped if syndrome develops</li>
</ul></div>","<div class=""ac-body""><strong>Pediatric Use</strong>: Safety and efficacy of Adalimumab in pediatric patients for uses other than polyarticular juvenile idiopathic arthritis (JIA) and pediatric Crohn’s disease have not been established.<br><br><strong>Geriatric Use</strong>: A total of 519 patients 65 years of age and older, including 107 patients 75 years and older, received Adalimumab in clinical studies. No overall difference in effectiveness was observed between these subjects and younger subjects. The frequency of serious infection and malignancy among Adalimumab treated subjects over age 65 was higher than for those under age 65. Because there is a higher incidence of infections and malignancies in the elderly population in general, caution should be used when treating the elderly.</div>","<div class=""ac-body"">The maximum tolerated dose of Adalimumab has not been established in humans. Multiple doses up to 10 mg/kg have been administered to patients in clinical trials without evidence of dose-limiting toxicities. In case of overdosage, it is recommended that the patient be monitored for any signs or symptoms of adverse reactions or effects and appropriate symptomatic treatment instituted immediately.</div>",,,"<div class=""ac-body"">Do not use beyond the expiration date on the container. Adalimumab must be refrigerated at 2-8° C. Do not freeze. Protect the pre-filled syringe from exposure to light. Store in original carton until time of administration.</div>",13
10,Acyclovir + Hydrocortisone,acyclovir-hydrocortisone-10,https://medex.com.bd/attachments/hmi4dt8aYaBubgZ8AkKxlsmFQ49ppe/acyclovir-hydrocortisone-prescribing-information,Hydrocortisone & Combined preparations,Herpes labialis,"<div class=""ac-body"">Acyclovir &amp; Hydrocortisone Cream is indicated for the early treatment of recurrent herpes labialis (cold sores) to reduce the likelihood of ulcerative cold sores and to shorten the lesion healing time in adults and children (6 years of age and older).</div>","<div class=""ac-body"">Hydrocortisone &amp; Combined preparations</div>","<div class=""ac-body"">Acyclovir is a synthetic purine nucleoside analogue with inhibitory activity against Herpes simplex viruses type 1 (HSV-1) and type 2 (HSV-2) in cell culture and in vivo. The inhibitory activity of Acyclovir is highly selective due to its affinity for the enzyme thymidine kinase (TK) encoded by HSV. This viral enzyme converts Acyclovir into Acyclovir monophosphate, a nucleotide analogue. The monophosphate is further converted into diphosphate by cellular guanylate kinase and into triphosphate by a number of cellular enzymes. In cell culture, Acyclovir Triphosphate stops replication of herpes viral DNA. This inhibition is accomplished in 3 ways: <br>
<ul>
<li>Competitive inhibition of viral DNA polymerase</li>
<li>Incorporation into and termination of the growing viral DNA chain</li>
<li>Inactivation of the viral DNA polymerase</li>
</ul>
Hydrocortisone is the main glucocorticoid secreted by the adrenal cortex. It is used topically for its anti-inflammatory effects which suppress the clinical manifestations of the disease in a wide range of disorders where inflammation is a prominent feature.</div>","<div class=""ac-body"">The cream should be topically applied 5 times per day for 5 days. Therapy should be initiated as early as possible after the first signs and symptoms.</div>",,,"<div class=""ac-body"">There is no known contraindication.</div>","<div class=""ac-body"">The following most common adverse reactions (&lt;1%) were local skin reactions like drying or flaking of the skin; burning or tingling, erythema; pigmentation changes, application site reactions including signs and symptoms of inflammation.</div>","<div class=""ac-body"">Pregnancy Category B. There are no adequate and well-controlled studies of systemic Acyclovir in pregnant women. No studies have been performed in pregnant women. Systemic exposure of Acyclovir and Hydrocortisone following topical administration of this cream is minimal. It is not known whether topically applied Acyclovir or Hydrocortisone is excreted in breast milk. Because many drugs are excreted in human milk, caution should be exercised when administered to a nursing woman.</div>","<div class=""ac-body"">Acyclovir and Hydrocortisone should not be used in the eye, inside the mouth or nose, or on the genitals. Patients should seek medical advice when a cold sore fails to heal within 2 weeks.</div>","<div class=""ac-body"">Safety and effectiveness in pediatric subjects less than 6 years of age have not been established.</div>",,,,"<div class=""ac-body"">Keep below 30°C temperature, away from light &amp; moisture. Keep out of the reach of children.</div>",10
9,Acyclovir (Topical),acyclovir-topical-9,https://medex.com.bd/attachments/ENyoYKzQq8b7VMZE4lELf5n7tqUYGm/acyclovir-topical-prescribing-information,Topical Antiviral preparations,Sore lips,"<div class=""ac-body"">Acyclovir cream is a herpes simplex virus (HSV) nucleoside analogue DNA polymerase inhibitor indicated for the treatment of recurrent herpes labialis (cold sores) in immunocompetent adults and adolescents 12 years of age and older.</div>","<div class=""ac-body"">Topical Antiviral preparations</div>","<div class=""ac-body"">Acyclovir is an antiviral drug active against herpes simplex virus. Acyclovir is a synthetic purine nucleoside analogue with cell culture and in vivo inhibitory activity against HSV types 1 (HSV-1) and 2 (HSV-2). The inhibitory activity of acyclovir is highly selective due to its affinity for the enzyme thymidine kinase (TK) encoded by HSV. This viral enzyme converts acyclovir into acyclovir monophosphate, a nucleotide analogue. The monophosphate is further converted into diphosphate by cellular guanylate kinase and into triphosphate by a number of cellular enzymes. In cell culture, acyclovir triphosphate stops replication of herpes viral DNA. This inhibition is accomplished in 3 ways: 1) competitive inhibition of viral DNA polymerase, 2) incorporation into and termination of the growing viral DNA chain, and 3) inactivation of the viral DNA polymerase.</div>","<div class=""ac-body"">Acyclovir cream should be applied five times per day for four days. Therapy should be initiated as early as possible following the onset of signs or symptoms of herpes labialis i.e., during the prodrome or when lesions appear. For adolescents 12 years of age and older, the dosage is the same as in adults.</div>",,"<div class=""ac-body"">Clinical experience has identified no interactions resulting from topical or systemic administration of other drugs concomitantly with Acyclovir cream. Due to minimal systemic absorption of Acyclovir cream, systemic drug interactions are unlikely.</div>","<div class=""ac-body"">Acyclovir cream is contraindicated in patients with known hypersensitivity to acyclovir, valacyclovir, or any component of the formulation.</div>","<div class=""ac-body"">The most common adverse reactions at the site of topical application were dry lips, desquamation, dryness of skin, cracked lips, burning skin, pruritus, flakiness of skin, and stinging on skin; each adverse reaction occurred in less than 1% of patients receiving Acyclovir cream and placebo. Three patients on Acyclovir cream and one patient on placebo discontinued treatment due to an adverse event.</div>","<div class=""ac-body"">Pregnancy Category B. There are no adequate and well-controlled studies of acyclovir cream in pregnant women. Acyclovir cream should be used during pregnancy only if the potential benefit justifies the potential risk to the fetus. It is not known whether topically applied acyclovir is excreted in breast milk. Systemic exposure following topical administration is minimal.</div>","<div class=""ac-body"">Acyclovir cream should only be applied on the affected external aspects of the lips and face in patients with herpes labialis. Because no data are available, application to human mucous membranes is not recommended. Acyclovir cream is intended for cutaneous use only and should not be used in the eye or inside the mouth or nose. Cream has a potential for irritation and contact. The effect of Acyclovir cream has not been established in immunocompromised patients.</div>","<div class=""ac-body""><strong>Pediatric Use</strong>: An open-label, uncontrolled trial with Acyclovir cream 5% was conducted in 113 patients aged 12 to 17 years with recurrent herpes labialis. In this trial, therapy was applied using the same dosing regimen as in adults and subjects were followed for adverse events. The safety profile was similar to that observed in adults. Safety and effectiveness in pediatric patients less than 12 years of age have not been established.<br><br><strong>Geriatric Use</strong>: Clinical studies of acyclovir cream did not include sufficient numbers of subjects aged 65 and over to determine whether they respond differently from younger subjects. Other reported clinical experience has not identified differences in responses between the elderly and younger patients. Systemic absorption of acyclovir after topical administration is minimal.</div>",,,,"<div class=""ac-body"">Store Acyclovir cream at room temperature between 20°C to 25°C</div>",11
12,Acyclovir (Oral),acyclovir-oral-12,https://medex.com.bd/attachments/zVc7h4TgucYev3wdbHFLiqLLdJbnvL/acyclovir-oral-prescribing-information,Herpes simplex & Varicella-zoster virus infections,Varicella zoster (chickenpox),"<div class=""ac-body"">Aciclovir is indicated for-<br>
<ul>
<li>The treatment of viral infections due to Herpes simplex virus (type I &amp; II) and Varicella zoster virus (herpes zoster &amp; chicken pox).</li>
<li>The treatment of Herpes simplex virus infections of the skin and mucous membranes including initial and recurrent genital herpes and herpes labialis.</li>
<li>The prophylaxis of Herpes simplex infections in immunocompromised patients</li>
</ul></div>","<div class=""ac-body"">Herpes simplex &amp; Varicella-zoster virus infections</div>","<div class=""ac-body"">Aciclovir is a synthetic purine derivative. Aciclovir exerts its antiviral effect on Herpes simplex virus (HSV) and Varicella-zoster virus by interfering with DNA synthesis and inhibiting viral replication. In cells infected with herpes virus, the antiviral activity of Aciclovir appears to depend principally on the intracellular conversion of the drug to Aciclovir Triphosphate. Aciclovir is converted to Aciclovir Monophosphate principally via virus coded thymidine kinase; the monophosphate is phosphorylated to the diphosphate via cellular guanylate kinase and then via another cellular enzyme to the triphosphate, which is the pharmacologically active form of the drug. 15-30% of an oral dose of the drug is absorbed from Gl tract. Peak plasma concentrations usually occur within 1.5-2 hours after oral administration. It is widely distributed into body tissues and fluids including the brain, saliva, lungs, liver, muscle, spleen, uterus, vaginal mucosa and secretions, CSF, and herpetic vesicular fluid. Aciclovir is excreted through the kidney by the glomerular filtration &amp; tubular secretion.</div>","<div class=""ac-body"">Treatment of initial herpes simplex: 200 mg 5 times daily usually for 5 days. <br><br>For immunocompromised patients:<br>
<ul>
<li><strong>Adult</strong>: 400 mg 5 times daily for 5 days (longer if new lesions appear during treatment or if healing is incomplete; increase dose to 800 mg 5 times daily for genital herpes in immunocompromised) or as directed by the registered physician.</li>
<li><strong>Children under 2 years</strong>: Half of the adult dose.</li>
<li><strong>Children over 2 years</strong>: Adult dose.</li>
</ul>
Prevention of recurrence of herpes simplex: <br>
<ul>
<li><strong>Adult</strong>: 200 mg 4 times daily or 400 mg twice daily possibly reduced to 200 mg 2 or 3 times daily and interrupted every 6-12 months.</li>
<li><strong>Children under 2 years</strong>: Half of the adult dose.</li>
<li><strong>Children over 2 years</strong>: Adult dose.</li>
</ul>
Prophylactic treatment of herpes simplex in the immunocompromised patients: <br>
<ul>
<li><strong>Adult</strong>: 200 to 400 mg 4 times daily.</li>
<li><strong>Children under 2 years</strong>: Half of the adult dose.</li>
<li><strong>Children over 2 years</strong>: Adult dose.</li>
</ul>
Treatment of vericella (chicken pox):<br>
<ul>
<li><strong>Adult and children over 40 kg</strong>: 800 mg 4 times daily for 5 days.</li>
<li><strong>Children below 40 kg</strong>: 20 mg/kg (maximum 800 mg) per dose orally 4 times daily (80 mg/kg/day) for 5 days.</li>
<li><strong>Children 1 month-2 years</strong>: 200 mg 4 times daily for 5 days.</li>
<li><strong>Children 2-5 years</strong>:400 mg 4 times daily for 5 days.</li>
<li><strong>Children 6-12 years</strong>:800 mg 4 times daily for 5 days.</li>
</ul>
Treatment of herpes zoster (Shingles): 800 mg 5 times daily for 7 days.<br><br>Treatment of initial rectal (Proctitis) herpes infections: An oral Aciclovir dosage of 400 mg 5 times daily for 10 days or until clinical resolution occurs has been recommended.<br><br>Renal Impairment: For patients with severe renal impairment, a reduction of the doses is recommended.</div>",,"<div class=""ac-body"">Probenecid reduces Aciclovir excretion and so increases plasma concentration and risk of toxicity.</div>","<div class=""ac-body"">Aciclovir is contraindicated in patients known to be hypersensitive to Aciclovir.</div>","<div class=""ac-body"">Rash, gastrointestinal disturbance, rise in bilirubin and liver-related enzymes, increase in blood urea and creatinine, decrease in hematological indices, headache, neurological reaction, fatigue.</div>","<div class=""ac-body"">Pregnancy category B. Aciclovir should not be used during pregnancy unless the potential benefit justifies the potential risk to the fetus. Caution should be exercised when it is administered to a nursing mother.</div>","<div class=""ac-body"">Aciclovir should be administered with caution in patients with renal impairment and doses should be adjusted according to creatinine clearance. Monitor neutrophil count at least twice weekly in neonates.</div>",,,,,"<div class=""ac-body"">Should be stored below 25°C. It should be protected from light and moisture.Keep out of the reach of children.</div>",10
13,Acyclovir (Ophthalmic),acyclovir-ophthalmic-13,https://medex.com.bd/attachments/Kz5fDjxpm2VFnag8dQCT5ZhRUDb4oB/acyclovir-ophthalmic-prescribing-information,Ophthalmic Anti-viral Products,Neonatal Conjunctivitis,"<div class=""ac-body"">Acyclovir is indicated for the treatment of Herpes simplex keratitis.</div>","<div class=""ac-body"">Ophthalmic Anti-viral Products</div>","<div class=""ac-body"">Acyclovir is an antiviral agent which is highly active in vitro against Herpes simplex (HSV) types I and II and Varicella zoster viruses, but its toxicity to mammalian cells is low. Acyclovir is phosphorylated to the active compound Acyclovir triphosphate after entry into herpes infected cell. The ­first step in this process requires the presence of the viral-coded thymidine kinase. Acyclovir triphosphate acts as an inhibitor of and substrate for the herpes specifi­ed DNA polymerase preventing further viral DNA synthesis without affecting normal cellular processes.</div>","<div class=""ac-body"">The dosage for all age groups is the same. A 10 mm ribbon of the ointment should be placed inside the lower conjunctival sac ­five times a day at approximately four hourly intervals. Treatment should continue for at least 3 days after healing</div>",,"<div class=""ac-body"">No clinically signi­ficant interactions have been identi­fied.</div>","<div class=""ac-body"">Acyclovir is contraindicated in patients known to be hypersensitive to Acyclovir or Valacyclovir</div>","<div class=""ac-body"">Very common: Superfi­cial punctate keratopathy. This did not necessitate an early termination of therapy and healed without apparent sequelae. Common: Transient mild stinging of the eye occurring immediately following application, conjunctivitis. Rare: Blepharitis.</div>","<div class=""ac-body"">Pregnancy category B. There are no adequate and well-controlled studies of Acyclovir in pregnant women. It is not known whether topically applied Acyclovir is excreted in breast milk.</div>","<div class=""ac-body"">The recommended dosage, frequency of applications, and length of treatment should not be exceeded.</div>",,"<div class=""ac-body"">No adverse effects would be expected if the entire contents of the tube containing 90 mg Acyclovir were ingested orally.</div>",,,"<div class=""ac-body"">Store in a cool and dry place. Keep away from light. Keep out of reach of children. Do not touch the tip of the tube since this may contaminate the product. After one month of the opening do not use the medicine of tube.</div>",11
